eem_id,cat_lev1,eem_name,uni_code_manual,lvl4_uni_code,,lvl4_uni_code alternative
1237,Advanced Metering Systems,Install advanced metering systems,D5010,D501002,SERVICE ENTRANCE EQUIPMENT,
1238,Advanced Metering Systems,Clean and/or repair,D5010,D501002,SERVICE ENTRANCE EQUIPMENT,
1239,Advanced Metering Systems,Implement training and/or documentation,D5010,D501002,SERVICE ENTRANCE EQUIPMENT,
1240,Advanced Metering Systems,"Upgrade operating protocols, calibration, and/or sequencing",D5010,D501002,SERVICE ENTRANCE EQUIPMENT,
1241,Advanced Metering Systems,Other,D5010,D501002,SERVICE ENTRANCE EQUIPMENT,
1242,Boiler Plant Improvements,Replace boiler,D3020,D302001,BOILERS,
1243,Boiler Plant Improvements,Replace burner,D3020,D302001,BOILERS,
1244,Boiler Plant Improvements,Decentralize boiler,D3020,D302001,BOILERS,
1245,Boiler Plant Improvements,Insulate boiler room,D3020,D302001,BOILERS,
1246,Boiler Plant Improvements,Add energy recovery,D3020,D302001,BOILERS,
1247,Boiler Plant Improvements,Convert gas-fired unit to boiler loop,D3020,D302001,BOILERS,
1248,Boiler Plant Improvements,Convert system from steam to hot water,D3020,D302001,BOILERS,
1249,Boiler Plant Improvements,Clean and/or repair,D3020,D302001,BOILERS,
1250,Boiler Plant Improvements,Implement training and/or documentation,D3020,D302001,BOILERS,
1251,Boiler Plant Improvements,"Upgrade operating protocols, calibration, and/or sequencing",D3020,D302001,BOILERS,
1252,Boiler Plant Improvements,Convert to Cleaner Fuels,D3020,D302001,BOILERS,
1253,Boiler Plant Improvements,Other,D3020,D302001,BOILERS,
1254,Building Automation Systems/Energy Management Control Systems (EMCS),Add heat recovery,D3060,D306001,HVAC CONTROLS,
1255,Building Automation Systems/Energy Management Control Systems (EMCS),Add or upgrade BAS/EMS/EMCS,D3060,D306002,ELECTRONIC CONTROLS,
1256,Building Automation Systems/Energy Management Control Systems (EMCS),Add or upgrade controls,D3060,D306001,HVAC CONTROLS,D306002
1257,Building Automation Systems/Energy Management Control Systems (EMCS),Convert pneumatic controls to DDC,D3060,D306003,PNEUMATIC CONTROLS,D306002
1258,Building Automation Systems/Energy Management Control Systems (EMCS),"Upgrade operating protocols, calibration, and/or sequencing",D3060,D306090,OTHER CONTROLS INSTRUMENTATION,
1259,Building Automation Systems/Energy Management Control Systems (EMCS),Other,D3060,D306090,OTHER CONTROLS INSTRUMENTATION,
1260,Building Envelope Modifications,Air seal envelope,B2010,B201003,INSULATION & VAPOR RETARDER,B301003
1261,Building Envelope Modifications,Increase wall insulation,B2010,B201003,INSULATION & VAPOR RETARDER,
1262,Building Envelope Modifications,Insulate thermal bypasses,B2010,B201003,INSULATION & VAPOR RETARDER,
1263,Building Envelope Modifications,Increase ceiling insulation,C3030,C303090,OTHER CEILING & CEILING FINISHES,
1264,Building Envelope Modifications,Increase roof insulation,B3010,B301003,ROOF IINSULATION & FILL,
1265,Building Envelope Modifications,Insulate attic hatch / stair box,C3030,C303090,OTHER CEILING & CEILING FINISHES,
1266,Building Envelope Modifications,Add attic/knee wall insulation,B2010,B201003,INSULATION & VAPOR RETARDER,B301003
1267,Building Envelope Modifications,Install cool/green roof,B3010,B301003,ROOF IINSULATION & FILL,
1268,Building Envelope Modifications,Add shading devices,B2010,B201011,SUN CONTROL DEVICES,
1269,Building Envelope Modifications,Add window films,B2020,B202001,WINDOWS,
1270,Building Envelope Modifications,Install or replace solar screens,B2010,B201005,EXTERIOR LOUVERS & SCREENS,
1271,Building Envelope Modifications,Replace glazing,B2020,B202004,EXTERIOR GLAZING,
